"Item","LinkedEquipment","SparePartHoldingStd","DeptCode"
"Q4535900","FM Roll Alignment","","SEO26FF"
"Q4535902","FM Roll Alignment","","SEO26FF"
"Q4585577","RM Stand Adjust","","SEO26FF"
"Q4587154","QOC Servo","","SEO26FF"
"Q4597580","FM Hot Leveller","","SEO26FF"
"Q4676007","FM Main Motor","","SEO26FF"
"QS429155","Table Roller 기어박스","","SEO26FF"
"Q4704375","FM Main Motor","","SEO26FF"
"Q4686594","QOC Servo","","SEO26FF"
"Q4709438","FM Main Motor","","SEO26FF"
"Q4698941","FM Hot Leveller","","SEO26FF"
"Q4712672","FM Crop Shear","","SEO26FF"
"Q4701430","FM Main Motor","","SEO26FF"
"Q1000737","","1","SEO26FF"
"Q1000745","","2","SEO26FF"
"Q1000781","","2","SEO26FF"
"Q1000971","","1","SEO26FF"
"Q1032374","","2","SEO26FF"
"Q1039284","","1","SEO26FF"
"Q1039371","","1","SEO26FF"
"Q1040012","","2","SEO26FF"
"Q1040224","","2","SEO26FF"
"Q1040225","","2","SEO26FF"
"Q1040312","","1","SEO26FF"
"Q1042306","","1","SEO26FF"
"Q1042421","","1","SEO26FF"
"Q1048997","","1","SEO26FF"
"Q1049004","","1","SEO26FF"
"Q1071793","","6","SEO26FF"
"Q1073119","","1","SEO26FF"
"Q1073185","","6","SEO26FF"
"Q1073416","","6","SEO26FF"
"Q1073453","","6","SEO26FF"
"Q1074634","","2","SEO26FF"
"Q1074772","","4","SEO26FF"
"Q1078283","","2","SEO26FF"
"Q1137969","","1","SEO26FF"
"Q1218357","","1","SEO26FF"
"Q1218391","","1","SEO26FF"
"Q1218393","","1","SEO26FF"
"Q1219164","","1","SEO26FF"
"Q1260654","","1","SEO26FF"
"Q1292612","","4","SEO26FF"
"Q1314441","","1","SEO26FF"
"Q1316039","","1","SEO26FF"
"Q2010934","","2","SEO26FF"
"Q2024559","","3","SEO26FF"
"Q2028061","","1","SEO26FF"
"Q2028134","","1","SEO26FF"
"Q2045742","","1","SEO26FF"
"Q2054727","","1","SEO26FF"
"Q2062201","","1","SEO26FF"
"Q2074769","","2","SEO26FF"
"Q2088228","","1","SEO26FF"
"Q2094703","","1","SEO26FF"
"Q2118996","","1","SEO26FF"
"Q2124049","","10","SEO26FF"
"Q2130291","","1","SEO26FF"
"Q2130293","","1","SEO26FF"
"Q2139998","","1","SEO26FF"
"Q2143592","","1","SEO26FF"
"Q2143616","","1","SEO26FF"
"Q2185181","","1","SEO26FF"
"Q2212113","","1","SEO26FF"
"Q2226242","","1","SEO26FF"
"Q4017996","","1","SEO26FF"
"Q4017997","","1","SEO26FF"
"Q4017998","","1","SEO26FF"
"Q4017999","","1","SEO26FF"
"Q4018000","","1","SEO26FF"
"Q4018004","","1","SEO26FF"
"Q4018005","","4","SEO26FF"
"Q4018007","","7","SEO26FF"
"Q4018011","","10","SEO26FF"
"Q4018012","","1","SEO26FF"
"Q4018014","","1","SEO26FF"
"Q4018015","","8","SEO26FF"
"Q4018016","","1","SEO26FF"
"Q4018018","","13","SEO26FF"
"Q4018019","","1","SEO26FF"
"Q4018022","","2","SEO26FF"
"Q4018023","","1","SEO26FF"
"Q4018210","","1","SEO26FF"
"Q4039953","","1","SEO26FF"
"Q4169627","","2","SEO26FF"
"Q4169634","","2","SEO26FF"
"Q4169635","","1","SEO26FF"
"Q4173290","","1","SEO26FF"
"Q4174454","","1","SEO26FF"
"Q4174455","","1","SEO26FF"
"Q4178355","","2","SEO26FF"
"Q4185031","","1","SEO26FF"
"Q4192133","","1","SEO26FF"
"Q4192171","","1","SEO26FF"
"Q4192179","","1","SEO26FF"
"Q4210213","","1","SEO26FF"
"Q4230326","","1","SEO26FF"
"Q4257701","","1","SEO26FF"
"Q4269272","","1","SEO26FF"
"Q4441695","","1","SEO26FF"
"Q4521625","","1","SEO26FF"
"Q4604630","","1","SEO26FF"
"QS424543","","1","SEO26FF"
